item_id,item_type,condition,domain,difficulty,pre_meta_output_raw,pre_meta_output_normalized,pre_meta_valid,factual_answer,answer_key,factual_correct,factual_response_invalid,scoring_method,judgment_prompt,judgment_labels,expected_judgment,baseline_output_raw,baseline_output_normalized,baseline_valid,baseline_judgment_correct,baseline_margin,baseline_oriented_margin,direction_source_selector,direction_source_position,direction_source_token,primary_candidate_token_id,primary_layer,primary_raw_rank,primary_word_filtered_rank,primary_visible,primary_status,primary_negative_flipped,primary_positive_flipped,adaptive_status
75,error_detection,external,biology,hard,,,,,CORRECT,True,False,dataset_error_detection_answer_key,"A student answered: 'Natural selection was proposed by Charles Darwin and Alfred Russel Wallace.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.625375618042654,12.625375618042654,question_mark,25,?,97817,40,23752,19532,False,skipped_frozen_visibility_rule,,,no_visible_fallback
76,error_detection,external,psychophysics,hard,,,,,CORRECT,True,False,dataset_error_detection_answer_key,"A student answered: 'In signal detection theory, d-prime measures the observer's sensitivity — the distance between the means of the noise and signal distributions in standard deviation units.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,10.125039818418372,10.125039818418372,question_mark,42,?,97817,40,791,456,False,skipped_frozen_visibility_rule,,,no_visible_fallback
77,error_detection,external,psychology,hard,,,,,INCORRECT,False,False,dataset_error_detection_answer_key,"A student answered: 'In Milgram's original (1963) obedience experiment, 50% of participants delivered the maximum shock.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,INCORRECT,INCORRECT,INCORRECT,True,True,-4.375000177847596,4.375000177847596,question_mark,37,?,97817,40,3452,2285,False,skipped_frozen_visibility_rule,,,no_visible_fallback
78,error_detection,external,developmental,hard,,,,,INCORRECT,False,False,dataset_error_detection_answer_key,"A student answered: 'Mutual exclusivity (Markman & Wachtel, 1988) is the tendency for children to assume that each object can have multiple labels, which helps them learn synonyms.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,INCORRECT,INCORRECT,INCORRECT,True,True,-8.500749129401811,8.500749129401811,question_mark,51,?,97817,40,3112,2118,False,skipped_frozen_visibility_rule,,,no_visible_fallback
79,error_detection,external,psychophysics,hard,,,,,INCORRECT,False,False,dataset_error_detection_answer_key,"A student answered: 'Meta-d-prime (Maniscalco & Lau, 2012) measures the observer's type-1 perceptual sensitivity, equivalent to standard d-prime.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,INCORRECT,INCORRECT,INCORRECT,True,True,-4.250012856104149,4.250012856104149,question_mark,47,?,97817,40,586,301,False,skipped_frozen_visibility_rule,,,no_visible_fallback
80,error_detection,external,methodology,hard,,,,,INCORRECT,False,False,dataset_error_detection_answer_key,"A student answered: 'The Open Science Collaboration (2015) found that 75% of the original psychology findings replicated successfully.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,INCORRECT,INCORRECT,INCORRECT,True,True,-5.624944513853734,5.624944513853734,question_mark,36,?,97817,40,484,227,False,skipped_frozen_visibility_rule,,,no_visible_fallback
81,error_detection,external,developmental,hard,,,,,INCORRECT,False,False,dataset_error_detection_answer_key,"A student answered: 'In hierarchical Bayesian models (Kemp et al., 2007), an overhypothesis is a first-order generalisation about a specific category, such as balls are round.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,INCORRECT,INCORRECT,INCORRECT,True,True,-4.249691180724767,4.249691180724767,question_mark,50,?,97817,40,1746,988,False,skipped_frozen_visibility_rule,,,no_visible_fallback
82,knowledge_boundary,self,biology,know,I_KNOW,I_KNOW,True,Mitochondria,(?i)mitochondri,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,7.999999742023647,7.999999742023647,question_mark,127,?,97817,40,35,5,True,completed_no_flip,False,False,no_flip
83,knowledge_boundary,self,psychology,know,I_KNOW,I_KNOW,True,Sigmund Freud,(?i)freud,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,9.375000273634214,9.375000273634214,question_mark,129,?,97817,40,29,4,True,completed_no_flip,False,False,no_flip
84,knowledge_boundary,self,metacognition,boundary,I_KNOW,I_KNOW,True,Monitoring and Control,(?i)monitor.*control|control.*monitor,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,5.999999838881195,5.999999838881195,question_mark,150,?,97817,40,14,5,True,completed_no_flip,False,False,no_flip
85,knowledge_boundary,self,psychophysics,boundary,I_KNOW,I_KNOW,True,ΔI = kI,(?i)(delta.*=.*k|proportion|fraction|ΔI/I),False,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,FAIL,PASS,PASS,True,False,7.999999626830686,-7.999999626830686,question_mark,147,?,97817,40,20,6,True,completed_no_flip,False,False,no_flip
86,knowledge_boundary,self,statistics,boundary,I_KNOW,I_KNOW,True,Brier score,(?i)brier,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,6.875000185682438,6.875000185682438,question_mark,139,?,97817,40,15,5,True,completed_no_flip,False,False,no_flip
87,knowledge_boundary,self,psychophysics,guess,I_KNOW,I_KNOW,True,"The premise of the question is factually incorrect. Cacioli (2026) does not exist as a published scientific work, and there is no record of a ""Qwen exploratory model"" being tested in a psychophysical",(?i)0\.17|0\.18,False,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,FAIL,PASS,PASS,True,False,0.4999999701976776,-0.4999999701976776,question_mark,194,?,97817,40,21,5,True,completed_with_flip,True,False,not_run_primary_flipped
88,knowledge_boundary,self,methodology,guess,I_KNOW,I_KNOW,True,10,(?i)1[25][05],False,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,FAIL,FAIL,FAIL,True,True,-0.7499999403953552,0.7499999403953552,question_mark,143,?,97817,40,38,14,True,completed_with_flip,False,True,not_run_primary_flipped
89,knowledge_boundary,self,cognitive_science,guess,I_WOULD_GUESS,I_WOULD_GUESS,True,0.65,(?i)5[0-2]|chance|50,False,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,FAIL,FAIL,FAIL,True,True,-1.625,1.625,question_mark,150,?,97817,40,21,7,True,completed_with_flip,False,True,not_run_primary_flipped
